"","Tickers","Names"
"2796","HOTH","(HOTH THERAPEUTICS INC. COMMON STOCK)"
"2797","HOUR","(HOUR LOOP INC. COMMON STOCK)"
"2798","HOUS","(ANYWHERE REAL ESTATE INC. COMMON STOCK)"
"2799","HOVNP","(HOVNANIAN ENTERPRISES INC DEP SHR SRS A PFD)"
"2800","HOWL","(Werewolf Therapeutics)"
"2801","HP","(Helmerich & Payne)"
"2802","HPE","(Hewlett Packard Enterprise)"
"2803","HPF","(JOHN HANCOCK PFD INCOME FUND II PFD INCOME FUND II)"
"2804","HPI","(JOHN HANCOCK PREFERRED INCOME FUND COMMON SHARES OF BENEFICIAL INTEREST)"
"2805","HPKEW","(HIGHPEAK ENERGY INC. WARRANT)"
"2806","HPP","(Hudson Pacific Properties)"
"2807","HPQ","(HP)"
"2808","HPS","(JOHN HANCOCK PREFERRED INCOME FUND III PREFERRED INCOME FUND III)"
"2809","HPX","(HPX Corp.)"
"2810","HQH","(TEKLA HEALTHCARE INVESTORS COMMON STOCK)"
"2811","HQI","(HIREQUEST INC. COMMON STOCK (DE))"
"2812","HQL","(TEKLALIFE SCIENCES INVESTORS COMMON STOCK)"
"2813","HQY","(HealthEquity)"
"2814","HR","(Healthcare Realty Trust Incorporated)"
"2815","HRB","(Block H&R)"
"2816","HRI","(Herc)"
"2817","HRL","(Hormel Foods)"
"2818","HRMY","(Harmony Biosciences)"
"2819","HROW","(Harrow Health)"
"2820","HRT","(HireRight Holdings Corporation)"
"2821","HRZN","(HORIZON TECHNOLOGY FINANCE CORPORATION COMMON STOCK)"
"2822","HSBC","(HSBC HOLDINGS PLC. COMMON STOCK)"
"2823","HSC","(Harsco Corp)"
"2824","HSCS","(HEART TEST LABORATORIES INC. COMMON STOCK)"
"2825","HSCSW","(HEART TEST LABORATORIES INC. WARRANT)"
"2826","HSDT","(HELIUS MEDICAL TECHNOLOGIES INC. CLASS A COMMON STOCK (DE))"
"2827","HSIC","(Henry Schein)"
"2828","HSII","(Heidrick & Struggles)"
"2829","HSKA","(Heska)"
"2830","HSON","(HUDSON GLOBAL INC. COMMON STOCK)"
"2831","HST","(Host Hotels & Resorts)"
"2832","HSTM","(Healthstream)"
"2833","HSTO","(HISTOGEN INC. COMMON STOCK)"
"2834","HSY","(The Hershey Company)"
"2835","HT","(Hersha Hospitality)"
"2836","HTA","(Healthcare Trust of America)"
"2837","HTBI","(Hometrust Bancshares)"
"2838","HTBK","(Heritage Commerce)"
"2839","HTCR","(HEARTCORE ENTERPRISES INC. COMMON STOCK)"
"2840","HTD","(JOHN HANCOCK TAX ADVANTAGED DIVIDEND INCOME FUND COMMON SHARES OF BENEFICIAL INTEREST)"
"2841","HTGC","(HERCULES CAPITAL INC. COMMON STOCK)"
"2842","HTGM","(HTG MOLECULAR DIAGNOSTICS INC. COMMON STOCK)"
"2843","HTH","(Hilltop)"
"2844","HTHT","(Huazhu Group Limited)"
"2845","HTIA","(HEALTHCARE TRUST INC. 7.375% SERIES A CUMULATIVE REDEEMABLE PERPETUAL PREFERRED STOCK)"
"2846","HTLD","(Heartland Express)"
"2847","HTLF","(Heartland Financial Usa)"
"2848","HTLFP","(HEARTLAND FINANCIAL USA INC. DEPOSITARY SHARES EACH REPRESENTING A 1/400TH OWNERSHIP INTEREST IN A SHARE OF 7.00% FIXED-RATE RESET NON-CUMULATIVE PERPETUAL PREFERRED STOCK SERIES E)"
"2849","HTOO","(FUSION FUEL GREEN PLC CLASS A ORDINARY SHARES)"
"2850","HTOOW","(FUSION FUEL GREEN PLC WARRANT)"
"2851","HTPA","(HIGHLAND TRANSCEND PARTNERS I CORP. CLASS A ORDINARY SHARES)"
"2852","HTY","(JOHN HANCOCK TAX-ADVANTAGED GLOBAL SHAREHOLDER YIELD FUND COMMON SHARES OF BENEFICIAL INTEREST)"
"2853","HTZWW","(HERTZ GLOBAL HOLDINGS INC WARRANT)"
"2854","HUBB","(Hubbell Corp)"
"2855","HUBG","(Hub Group)"
"2856","HUBS","(HubSpot)"
"2857","HUGE","(FSD PHARMA INC. CLASS B SUBORDINATE VOTING SHARES)"
"2858","HUIZ","(Huize Holding)"
"2859","HUM","(Humana)"
"2860","HUMA","(Humacyte)"
"2861","HUMAW","(HUMACYTE INC. WARRANT)"
"2862","HUN","(Huntsman Corporation)"
"2863","HURC","(Hurco Companies)"
"2864","HURN","(Huron Consulting Group)"
"2865","HUSA","(HOUSTON AMERICAN ENERGY CORPORATION COMMON STOCK)"
"2866","HUT","(Hut 8 Mining Corp. Common Shares)"
"2867","HUYA","(HUYA)"
"2868","HVBC","(HV BANCORP INC. COMMON STOCK)"
"2869","HVT","(Haverty Furniture)"
"2870","HVT.A","(HAVERTY FURNITURE COMPANIES INC.)"
"2871","HWBK","(Hawthorn Bancshares)"
"2872","HWC","(Hancock Whitney Corporation)"
"2873","HWKN","(Hawkins)"
"2874","HWM","(Howmet Aerospace)"
"2875","HXL","(Hexcel Corporation)"
"2876","HY","(Hyster-yale Materials)"
"2877","HYB","(NEW AMERICA HIGH INCOME FUND INC. (THE) COMMON STOCK)"
"2878","HYFM","(Hydrofarm)"
"2879","HYI","(WESTERN ASSET HIGH YIELD DEFINED OPPORTUNITY FUND INC. COMMON STOCK)"
"2880","HYLN","(Hyliion Holdings Corp.)"
"2881","HYMC","(HYCROFT MINING HOLDING CORPORATION CLASS A COMMON STOCK)"
"2882","HYMCL","(HYCROFT MINING HOLDING CORPORATION WARRANTS)"
"2883","HYMCW","(HYCROFT MINING HOLDING CORPORATION WARRANT)"
"2884","HYMCZ","(HYCROFT MINING HOLDING CORPORATION WARRANT)"
"2885","HYPR","(HYPERFINE INC. CLASS A COMMON STOCK)"
"2886","HYRE","(HYRECAR INC. COMMON STOCK)"
"2887","HYT","(BLACKROCK CORPORATE HIGH YIELD FUND INC. COMMON STOCK)"
"2888","HYW","(Hywin Holdings)"
"2889","HYZN","(Hyzon Motors Inc. Class A Common Stock)"
"2890","HYZNW","(HYZON MOTORS INC. WARRANTS)"
"2891","HZN","(HORIZON GLOBAL CORPORATION COMMON SHARES)"
"2892","HZNP","(Horizon Therapeutics Public Limited Company)"
"2893","HZO","(Marinemax)"
"2894","IAA","(IAA)"
"2895","IAC","(IAC/INTERACTIVECORP)"
"2896","IAE","(VOYA ASIA PACIFIC HIGH DIVIDEND EQUITY INCOME FUND ING ASIA PACIFIC HIGH DIVIDEND EQUITY INCOME FUND COMMON SHARES OF BENEFICIAL INTEREST)"
"2897","IAF","(ABERDEEN AUSTRALIA EQUITY FUND INC COMMON STOCK)"
"2898","IAG","(IAMGold Corporation)"
"2899","IART","(Integra LifeSciences Holdings Corporation)"
"2900","IAS","(Integral Ad Science Holding)"
"2901","IAUX","(I-80 GOLD CORP. COMMON SHARES)"
"2902","IBA","(INDUSTRIAS BACHOCO S.A.B. DE C.V. COMMON STOCK)"
"2903","IBCP","(Independent Bank (ionia)"
"2904","IBER","(Ibere Pharmaceuticals)"
"2905","IBEX","(IBEX)"
"2906","IBIO","(Ibio)"
"2907","IBKR","(Interactive Brokers Group)"
"2908","IBM","(International Business Machines)"
"2909","IBN","(ICICI Bank Limited)"
"2910","IBOC","(International Bancshares)"
"2911","IBP","(Installed Building Products)"
"2912","ICAD","(Icad)"
"2913","ICCC","(IMMUCELL CORPORATION COMMON STOCK)"
"2914","ICCH","(ICC HOLDINGS INC. COMMON STOCK)"
"2915","ICCM","(ICECURE MEDICAL LTD. ORDINARY SHARES)"
"2916","ICD","(INDEPENDENCE CONTRACT DRILLING INC. COMMON STOCK)"
"2917","ICE","(Intercontinental Exchange)"
"2918","ICFI","(Icf International)"
"2919","ICHR","(Ichor)"
"2920","ICL","(ICL Group Ltd.)"
"2921","ICLK","(ICLICK INTERACTIVE ASIA GROUP LIMITED AMERICAN DEPOSITARY SHARES)"
"2922","ICLR","(Icon Plc)"
"2923","ICMB","(INVESTCORP CREDIT MANAGEMENT BDC INC. COMMON STOCK)"
"2924","ICPT","(Intercept Pharmaceuticals)"
"2925","ICUI","(Icu Medical)"
"2926","ICVX","(Icosavax)"
"2927","ID","(PARTS ID INC. CLASS A COMMON STOCK)"
"2928","IDA","(IDACORP)"
"2929","IDAI","(T STAMP INC. CLASS A COMMON STOCK)"
"2930","IDBA","(IDEX BIOMETRICS ASA AMERICAN DEPOSITARY SHARES)"
"2931","IDCC","(Interdigital)"
"2932","IDE","(VOYA INFRASTRUCTURE INDUSTRIALS AND MATERIALS FUND COMMON SHARES OF BENEFICIAL INTEREST)"
"2933","IDN","(Intellicheck)"
"2934","IDR","(IDAHO STRATEGIC RESOURCES INC. COMMON STOCK)"
"2935","IDRA","(IDERA PHARMACEUTICALS INC. COMMON STOCK)"
"2936","IDT","(Idt)"
"2937","IDW","(IDW MEDIA HOLDINGS CLASS B COMMON STOCK)"
"2938","IDXX","(IDEXX Laboratories)"
"2939","IDYA","(Ideaya Biosciences)"
"2940","IEA","(INFRASTRUCTURE AND ENERGY ALTERNATIVES INC. COMMON STOCK)"
"2941","IEAWW","(INFRASTRUCTURE AND ENERGY ALTERNATIVES INC. WARRANT)"
"2942","IEP","(Icahn Enterprises L.P)"
"2943","IESC","(Ies)"
"2944","IEX","(IDEX CORPORATION)"
"2945","IFBD","(Infobird)"
"2946","IFF","(Intl Flavors & Fragrances)"
"2947","IFN","(INDIA FUND INC. (THE) COMMON STOCK)"
"2948","IFRX","(INFLARX N.V. COMMON STOCK)"
"2949","IFS","(Intercorp Financial Services Inc.)"
"2950","IGA","(VOYA GLOBAL ADVANTAGE AND PREMIUM OPPORTUNITY FUND COMMON SHARES OF BENEFICIAL INTEREST)"
"2951","IGC","(INDIA GLOBALIZATION CAPITAL INC. COMMON STOCK)"
"2952","IGD","(VOYA GLOBAL EQUITY DIVIDEND AND PREMIUM OPPORTUNITY FUND)"
"2953","IGI","(WESTERN ASSET INVESTMENT GRADE DEFINED OPPORTUNITY TRUST INC. COMMON STOCK)"
"2954","IGIC","(INTERNATIONAL GENERAL INSURANCE HOLDINGS LTD. ORDINARY SHARE)"
"2955","IGICW","(INTERNATIONAL GENERAL INSURANCE HOLDINGS LTD. WARRANTS EXPIRING 03/17/2025)"
"2956","IGMS","(Igm Biosciences)"
"2957","IGR","(CBRE GLOBAL REAL ESTATE INCOME FUND COMMON SHARES OF BENEFICIAL INTEREST)"
"2958","IGT","(INTERNATIONAL GAME TECHNOLOGY)"
"2959","IH","(iHuman)"
"2960","IHD","(VOYA EMERGING MARKETS HIGH INCOME DIVIDEND EQUITY FUND COMMON SHARES)"
"2961","IHG","(InterContinental Hotels Group PLC)"
"2962","IHIT","(INVESCO HIGH INCOME 2023 TARGET TERM FUND COMMON SHARES OF BENEFICIAL INTEREST)"
"2963","IHRT","(iHeartMedia)"
"2964","IHS","(IHS Holding Limited)"
"2965","IHT","(INNSUITES HOSPITALITY TRUST SHARES OF BENEFICIAL INTEREST)"
"2966","IHTA","(INVESCO HIGH INCOME 2024 TARGET TERM FUND COMMON SHARES OF BENEFICIAL INTEREST NO PAR VALUE PER SHARE)"
"2967","IIF","(MORGAN STANLEY INDIA INVESTMENT FUND INC. COMMON STOCK)"
"2968","III","(Information Services Grp)"
"2969","IIIN","(Insteel Industries)"
"2970","IIIV","(I3 Verticals)"
"2971","IIM","(INVESCO VALUE MUNICIPAL INCOME TRUST COMMON STOCK)"
"2972","IINN","(Inspira Technologies Oxy)"
"2973","IINNW","(INSPIRA TECHNOLOGIES OXY B.H.N. LTD. WARRANT)"
"2974","IIPR","(Innovative Industrial Properties)"
"2975","IIVI","(II-VI Incorporated)"
"2976","IIVIP","(II-VI INCORPORATED 6.00% SERIES A MANDATORY CONVERTIBLE PREFERRED STOCK)"
"2977","IKNA","(Ikena Oncology)"
"2978","IKT","(Inhibikase Therapeutics)"
"2979","ILMN","(Illumina Inc)"
"2980","ILPT","(Industrial Logistics Properties Trust Common Share)"
"2981","IMAB","(I-Mab)"
"2982","IMAC","(IMAC HOLDINGS INC. COMMON STOCK)"
"2983","IMACW","(IMAC HOLDINGS INC. WARRANT)"
"2984","IMAX","(Imax)"
"2985","IMBI","(IMEDIA BRANDS INC. CLASS A COMMON STOCK)"
"2986","IMCC","(IM CANNABIS CORP. COMMON SHARES)"
"2987","IMGN","(Immunogen)"
"2988","IMGO","(Imago BioSciences)"
"2989","IMH","(IMPAC MORTGAGE HOLDINGS INC. COMMON STOCK)"
"2990","IMKTA","(Ingles Markets)"
"2991","IMMP","(IMMUTEP LIMITED AMERICAN DEPOSITARY SHARES)"
"2992","IMMR","(Immersion)"
"2993","IMMX","(IMMIX BIOPHARMA INC. COMMON STOCK)"
"2994","IMNM","(Immunome)"
"2995","IMO","(Imperial Oil Limited)"
"2996","IMOS","(CHIPMOS TECHNOLOGIES INC. AMERICAN DEPOSITARY SHARES)"
"2997","IMPL","(Impel NeuroPharma)"
"2998","IMPP","(Imperial Petroleum)"
"2999","IMPX","(AEA-BRIDGES IMPACT CORP. CLASS A ORDINARY SHARES)"
"3000","IMRA","(Imara)"
"3001","IMRN","(IMMURON LIMITED AMERICAN DEPOSITARY SHARES)"
"3002","IMRX","(Immuneering)"
"3003","IMTE","(Integrated Media Technology)"
"3004","IMTX","(IMMATICS N.V. ORDINARY SHARES)"
"3005","IMTXW","(IMMATICS N.V. WARRANTS)"
"3006","IMUX","(Immunic)"
"3007","IMV","(IMV INC. COMMON SHARES)"
"3008","IMVT","(Immunovant)"
"3009","IMXI","(International Money Express)"
"3010","INAB","(IN8bio)"
"3011","INBK","(First Internet Bancorp Common)"
"3012","INBX","(Inhibrx)"
"3013","INCR","(INTERCURE LTD. ORDINARY SHARES)"
"3014","INCY","(Incyte)"
"3015","INDB","(Independent Bank)"
"3016","INDIW","(INDIE SEMICONDUCTOR INC. WARRANT)"
"3017","INDO","(Indonesia Energy)"
"3018","INDP","(INDAPTUS THERAPEUTICS INC. COMMON STOCK)"
"3019","INFA","(Informatica Inc.)"
"3020","INFI","(INFINITY PHARMACEUTICALS INC. COMMON STOCK)"
"3021","INFN","(Infinera)"
"3022","INFU","(Infusystems)"
"3023","INFY","(Infosys Ltd ADR)"
"3024","ING","(ING Groep N.V.)"
"3025","INGN","(Inogen)"
"3026","INGR","(Ingredion)"
"3027","INKT","(MINK THERAPEUTICS INC. COMMON STOCK)"
"3028","INM","(INMED PHARMACEUTICALS INC. COMMON SHARES)"
"3029","INMB","(INMUNE BIO INC. COMMON STOCK)"
"3030","INMD","(InMode Ltd. Ordinary Shares)"
"3031","INN","(Summit Hotel Properties)"
"3032","INNV","(InnovAge Holding)"
"3033","INO","(Inovio Pharmaceuticals)"
"3034","INOD","(INNODATA INC. COMMON STOCK)"
"3035","INPX","(INPIXON COMMON STOCK)"
"3036","INSE","(INSPIRED ENTERTAINMENT INC. COMMON STOCK)"
"3037","INSG","(Inseego Corp.)"
"3038","INSI","(INSIGHT SELECT INCOME FUND)"
"3039","INSM","(Insmed Incorporated)"
"3040","INSP","(Inspire Medical Systems)"
"3041","INST","(Instructure)"
"3042","INSW","(International Seaways)"
"3043","INT","(World Fuel Services)"
"3044","INTA","(Intapp)"
"3045","INTC","(Intel)"
"3046","INTG","(INTERGROUP CORPORATION (THE) COMMON STOCK)"
"3047","INTT","(INTEST CORPORATION COMMON STOCK)"
"3048","INTU","(Intuit)"
"3049","INTZ","(Intrusion)"
"3050","INUV","(INUVO INC.)"
"3051","INVA","(Innoviva)"
"3052","INVE","(Identive)"
"3053","INVH","(Invitation Homes)"
"3054","INVO","(INVO BIOSCIENCE INC. COMMON STOCK)"
"3055","INVZ","(Innoviz Technologies Ltd. Ordinary shares)"
"3056","INVZW","(INNOVIZ TECHNOLOGIES LTD. WARRANT)"
"3057","INZY","(Inozyme Pharma)"
"3058","IOBT","(IO BIOTECH INC. COMMON STOCK)"
"3059","IONM","(ASSURE HOLDINGS CORP. COMMON STOCK)"
"3060","IONS","(Ionis Pharmaceuticals)"
"3061","IOR","(INCOME OPPORTUNITY REALTY INVESTORS INC. COMMON STOCK)"
"3062","IOSP","(Innospec)"
"3063","IOT","(Samsara)"
"3064","IOVA","(Iovance Biotherapeutics)"
"3065","IP","(International Paper)"
"3066","IPA","(IMMUNOPRECISE ANTIBODIES LTD. COMMON STOCK)"
"3067","IPAR","(Inter Parfums)"
"3068","IPDN","(PROFESSIONAL DIVERSITY NETWORK INC. COMMON STOCK)"
"3069","IPG","(Interpublic Group)"
"3070","IPGP","(IPG Photonics)"
"3071","IPHA","(INNATE PHARMA S.A. ADS)"
"3072","IPI","(Intrepid Potash)"
"3073","IPOD","(SOCIAL CAPITAL HEDOSOPHIA HOLDINGS CORP. IV CLASS A ORDINARY SHARES)"
"3074","IPOF","(SOCIAL CAPITAL HEDOSOPHIA HOLDINGS CORP. VI CLASS A ORDINARY SHARES)"
"3075","IPSC","(Century Therapeutics)"
"3076","IPVF","(INTERPRIVATE III FINANCIAL PARTNERS INC. CLASS A COMMON STOCK)"
"3077","IPVI","(INTERPRIVATE IV INFRATECH PARTNERS INC. CLASS A COMMON STOCK)"
"3078","IPVIU","(INTERPRIVATE IV INFRATECH PARTNERS INC. UNITS)"
"3079","IPVIW","(INTERPRIVATE IV INFRATECH PARTNERS INC. WARRANT)"
"3080","IPW","(iPower)"
"3081","IPWR","(IDEAL POWER INC. COMMON STOCK)"
"3082","IQ","(iQIYI)"
"3083","IQI","(INVESCO QUALITY MUNICIPAL INCOME TRUST COMMON STOCK)"
"3084","IQV","(IQVIA Holdings)"
"3085","IR","(Ingersoll-Rand PLC)"
"3086","IRBT","(iRobot Corporation)"
"3087","IRDM","(Iridium Communications)"
"3088","IREN","(IRIS ENERGY LIMITED ORDINARY SHARES)"
"3089","IRIX","(IRIDEX CORPORATION COMMON STOCK)"
"3090","IRL","(NEW IRELAND FUND INC (THE) COMMON STOCK)"
"3091","IRM","(Iron Mountain Incorporated)"
"3092","IRMD","(Iradimed Corp)"
"3093","IRNT","(IRONNET INC. COMMON STOCK)"
"3094","IROQ","(IF BANCORP INC. COMMON STOCK)"
"3095","IRS","(IRSA INVERSIONES Y REPRESENTACIONES S.A. COMMON STOCK)"
"3096","IRT","(Independence Realty Trust)"
"3097","IRTC","(iRhythm Technologies)"
"3098","IRWD","(Ironwood Pharmaceuticals)"
"3099","IS","(ironSource Ltd.)"
"3100","ISAA","(IRON SPARK I INC. CLASS A COMMON STOCK)"
"3101","ISD","(PGIM HIGH YIELD BOND FUND INC.)"
"3102","ISDR","(ISSUER DIRECT CORPORATION COMMON STOCK)"
"3103","ISEE","(Iveric Bio)"
"3104","ISIG","(INSIGNIA SYSTEMS INC. COMMON STOCK)"
"3105","ISO","(ISOPLEXIS CORPORATION COMMON STOCK)"
"3106","ISPC","(iSpecimen)"
"3107","ISPO","(Inspirat)"
"3108","ISPOW","(INSPIRATO INCORPORATED WARRANT)"
"3109","ISR","(ISORAY INC. COMMON STOCK (DE))"
"3110","ISRG","(Intuitive Surgical)"
"3111","ISSC","(INNOVATIVE SOLUTIONS AND SUPPORT INC. COMMON STOCK)"
"3112","ISTR","(Investar Holding Corp)"
"3113","ISUN","(ISUN INC. COMMON STOCK)"
"3114","IT","(Gartner Inc)"
"3115","ITCB","(ITAU CORPBANCA AMERICAN DEPOSITARY SHARES (EACH REPRESENTING 1500 SHARES OF COMMON STOCK NO PAR VALUE))"
"3116","ITCI","(Intra-cellular Therapies)"
"3117","ITGR","(Integer Holdings Corporation)"
"3118","ITI","(Iteris)"
"3119","ITIC","(Investors Title)"
"3120","ITOS","(iTeos Therapeutics)"
"3121","ITP","(IT TECH PACKAGING INC. COMMON STOCK)"
"3122","ITRG","(INTEGRA RESOURCES CORP. COMMON SHARES)"
"3123","ITRI","(Itron)"
"3124","ITRM","(ITERUM THERAPEUTICS PLC ORDINARY SHARE)"
"3125","ITRN","(Ituran Location and Control Ltd.)"
"3126","ITT","(ITT)"
"3127","ITUB","(Itau Unibanco Holding S.A.)"
"3128","ITW","(Illinois Tool Works)"
"3129","IVA","(Inventiva)"
"3130","IVAC","(Intevac)"
"3131","IVC","(Invacare)"
"3132","IVDA","(IVEDA SOLUTIONS INC. COMMON STOCK)"
"3133","IVH","(DELAWARE IVY HIGH INCOME OPPORTUNITIES FUND)"
"3134","IVR","(Invesco Mortgage Capital)"
"3135","IVR.B","(INVESCO MORTGAGE CAPITAL INC. PREFERRED SERIES B CUM FXD TO FLTG)"
"3136","IVT","(InvenTrust Properties Corp.)"
"3137","IVZ","(Invesco Ltd.)"
"3138","IX","(ORIX CORP ADS COMMON STOCK)"
"3139","IXHL","(INCANNEX HEALTHCARE LIMITED AMERICAN DEPOSITARY SHARES)"
"3140","IZEA","(IZEA WORLDWIDE INC. COMMON STOCK)"
"3141","J","(JACOBS ENGINEERING GROUP)"
"3142","JACK","(Jack In The Box)"
"3143","JAGX","(JAGUAR HEALTH INC. COMMON STOCK)"
"3144","JAKK","(JAKKS PACIFIC INC. COMMON STOCK)"
"3145","JAMF","(JAMF)"
"3146","JAN","(JANONE INC. COMMON STOCK (NV))"
"3147","JANX","(Janux Therapeutics)"
"3148","JAZZ","(Jazz Pharmaceuticals plc)"
"3149","JBGS","(JBG SMITH Properties)"
"3150","JBHT","(J. B. Hunt Transport Services)"
"3151","JBL","(JABIL)"
"3152","JBLU","(JetBlue Airways Corporation)"
"3153","JBSS","(John B Sanfilippo)"
"3154","JBT","(John Bean Technologies Corporation)"
"3155","JCE","(NUVEEN CORE EQUITY ALPHA FUND NUVEEN CORE EQUITY ALPHA FUND COMMON SHARES OF BENEFICIAL INTEREST)"
"3156","JCI","(Johnson Controls International)"
"3157","JCIC","(JACK CREEK INVESTMENT CORP. CLASS A ORDINARY SHARES)"
"3158","JCICU","(JACK CREEK INVESTMENT CORP. UNITS)"
"3159","JCICW","(JACK CREEK INVESTMENT CORP. WARRANTS)"
"3160","JCSE","(JE CLEANTECH HOLDINGS LIMITED ORDINARY SHARES)"
"3161","JCTCF","(JEWETT-CAMERON TRADING COMPANY COMMON SHARES)"
"3162","JD","(JD.Com Inc)"
"3163","JEF","(Jefferies Financial Group)"
"3164","JELD","(Jeld-wen Holding)"
"3165","JEMD","(NUVEEN EMERGING MARKETS DEBT 2022 TARGET TERM FUND COMMON SHARES OF BENEFICIAL INTEREST $0.01 PAR VALUE PER SHARE)"
"3166","JEQ","(ABERDEEN JAPAN EQUITY FUND INC. COMMON STOCK)"
"3167","JFIN","(JIAYIN GROUP INC. AMERICAN DEPOSITARY SHARES)"
"3168","JFR","(NUVEEN FLOATING RATE INCOME FUND COMMON STOCK)"
"3169","JFU","(9F INC. AMERICAN DEPOSITARY SHARES)"
"3170","JG","(AURORA MOBILE LIMITED AMERICAN DEPOSITARY SHARES)"
"3171","JGGC","(JAGUAR GLOBAL GROWTH CORPORATION I CLASS A ORDINARY SHARES)"
"3172","JGGCR","(JAGUAR GLOBAL GROWTH CORPORATION I RIGHT)"
"3173","JGGCU","(JAGUAR GLOBAL GROWTH CORPORATION I UNIT)"
"3174","JGGCW","(JAGUAR GLOBAL GROWTH CORPORATION I WARRANT)"
"3175","JGH","(NUVEEN GLOBAL HIGH INCOME FUND COMMON SHARES OF BENEFICIAL INTEREST)"
"3176","JHAA","(NUVEEN CORPORATE INCOME 2023 TARGET TERM FUND)"
"3177","JHG","(Janus Henderson Group plc)"
"3178","JHI","(JOHN HANCOCK INVESTORS TRUST COMMON STOCK)"
"3179","JHS","(JOHN HANCOCK INCOME SECURITIES TRUST COMMON STOCK)"
"3180","JHX","(JAMES HARDIE INDUSTRIES PLC AMERICAN DEPOSITARY SHARES (IRELAND))"
"3181","JILL","(J. JILL INC. COMMON STOCK)"
"3182","JJSF","(J&j Snack Foods)"
"3183","JKHY","(Jack Henry & Associates Inc)"
"3184","JKS","(JINKOSOLAR HOLDING COMPANY LIMITED AMERICAN DEPOSITARY SHARES (EACH REPRESENTING 4 COMMON SHARES))"
"3185","JLL","(Jones Lang Lasalle)"
"3186","JLS","(NUVEEN MORTGAGE AND INCOME FUND)"
"3187","JMIA","(JUMIA TECHNOLOGIES AG AMERICAN DEPOSITARY SHARES EACH REPRESENTING TWO ORDINARY SHARES)"
"3188","JMM","(NUVEEN MULTI-MARKET INCOME FUND (MA))"
"3189","JMSB","(JOHN MARSHALL BANCORP INC. COMMON STOCK)"
"3190","JNCE","(Jounce Therapeutics)"
"3191","JNJ","(Johnson & Johnson)"
"3192","JNPR","(Juniper Networks)"
"3193","JOAN","(JOANN)"
"3194","JOB","(GEE GROUP INC. COMMON STOCK)"
"3195","JOE","(St. Joe)"
"3196","JOF","(JAPAN SMALLER CAPITALIZATION FUND INC COMMON STOCK)"
"3197","JOUT","(Johnson Outdoors)"
"3198","JPC","(NUVEEN PREFERRED & INCOME OPPORTUNITIES FUND)"
"3199","JPI","(NUVEEN PREFERRED AND INCOME TERM FUND COMMON SHARES OF BENEFICIAL INTEREST)"
"3200","JPM","(JPMorgan Chase & Co.)"
"3201","JPS","(NUVEEN PREFERRED & INCOME SECURITIES FUND)"
"3202","JPT","(NUVEEN PREFERRED AND INCOME FUND COMMON SHARES OF BENEFICIAL INTEREST)"
"3203","JQC","(NUVEEN CREDIT STRATEGIES INCOME FUND SHARES OF BENEFICIAL INTEREST)"
"3204","JRI","(NUVEEN REAL ASSET INCOME AND GROWTH FUND COMMON SHARES OF BENEFICIAL INTEREST)"
"3205","JRO","(NUVEEN FLOATING RATE INCOME OPPORTUNTIY FUND SHARES OF BENEFICIAL INTEREST)"
"3206","JRS","(NUVEEN REAL ESTATE INCOME FUND COMMON SHARES OF BENEFICIAL INTEREST)"
"3207","JRSH","(JERASH HOLDINGS (US) INC. COMMON STOCK)"
"3208","JSD","(NUVEEN SHORT DURATION CREDIT OPPORTUNITIES FUND COMMON SHARES OF BENEFICIAL INTEREST)"
"3209","JSPR","(JASPER THERAPEUTICS INC. COMMON STOCK)"
"3210","JSPRW","(JAPER THERAPEUTICS INC. WARRANTS)"
"3211","JT","(JIANPU TECHNOLOGY INC. AMERICAN DEPOSITARY SHARES)"
"3212","JUN","(JUNIPER II CORP. CLASS A COMMON STOCK)"
"3213","JUPW","(Jupiter Wellness)"
"3214","JUPWW","(JUPITER WELLNESS INC. WARRANT)"
"3215","JVA","(COFFEE HOLDING CO. INC. COMMON STOCK)"
"3216","JWEL","(Jowell Global)"
"3217","JWN","(Nordstrom)"
"3218","JXN","(Jackson Financial Inc.)"
"3219","JYNT","(The Joint Corp.)"
"3220","JZXN","(Jiuzi Holdings)"
"3221","K","(Kellogg Co.)"
"3222","KAI","(Kadant)"
"3223","KALA","(Kala Pharmaceuticals)"
"3224","KALU","(Kaiser Aluminum)"
"3225","KALV","(Kalvista Pharmaceuticals)"
"3226","KAMN","(Kaman)"
"3227","KAR","(KAR Auction Services)"
"3228","KARO","(Karooooo)"
"3229","KAVL","(KAIVAL BRANDS INNOVATIONS GROUP INC. COMMON STOCK)"
"3230","KB","(KB FINANCIAL GROUP INC)"
"3231","KBH","(KB HOME)"
"3232","KBNT","(Kubient)"
"3233","KBNTW","(KUBIENT INC. WARRANT)"
"3234","KBR","(KBR)"
"3235","KC","(Kingsoft Cloud Holdings Limited)"
"3236","KDP","(Keurig Dr Pepper)"
"3237","KELYA","(Kelly Services)"
"3238","KELYB","(Kelly Services)"
"3239","KEN","(KENON HOLDINGS LTD.)"
"3240","KEP","(KOREA ELECTRIC POWER CORPORATION COMMON STOCK)"
"3241","KEQU","(KEWAUNEE SCIENTIFIC CORPORATION COMMON STOCK)"
"3242","KERN","(Akerna Corp)"
"3243","KERNW","(AKERNA CORP WARRANT)"
"3244","KEX","(Kirby)"
"3245","KEY","(KeyCorp)"
